YYY,MM,DD,HH,NAME,stLON,stLAT,MARlon,MARlat,100m,load_factor
YYY,MM,DD,HH,NAME,stLON,stLAT,MARlon,MARlat,0.0,0.0
2015,1,4,21,offshore1,-45.343079,60.385963,-45.454914,60.370075,9.89,0.6043452125137907
2015,1,4,22,offshore1,-45.343079,60.385963,-45.454914,60.370075,8.83,0.4426906815999895
2015,1,4,23,offshore1,-45.343079,60.385963,-45.454914,60.370075,7.88,0.31347853331173525
2015,1,5,0,offshore1,-45.343079,60.385963,-45.454914,60.370075,7.45,0.261776870314066
2015,1,5,1,offshore1,-45.343079,60.385963,-45.454914,60.370075,7.81,0.3047325949343809
2015,1,5,2,offshore1,-45.343079,60.385963,-45.454914,60.370075,8.15,0.34825290547942306
2015,1,5,3,offshore1,-45.343079,60.385963,-45.454914,60.370075,7.73,0.2948853142695216
2015,1,5,4,offshore1,-45.343079,60.385963,-45.454914,60.370075,7.32,0.2471908550662229
2015,1,5,5,offshore1,-45.343079,60.385963,-45.454914,60.370075,6.92,0.20588106077960483
2015,1,5,6,offshore1,-45.343079,60.385963,-45.454914,60.370075,5.71,0.10802537424951238
2015,1,5,7,offshore1,-45.343079,60.385963,-45.454914,60.370075,6.08,0.1350555254798055
2015,1,5,8,offshore1,-45.343079,60.385963,-45.454914,60.370075,7.78,0.30102096329339123
2015,1,5,9,offshore1,-45.343079,60.385963,-45.454914,60.370075,8.09,0.34038836333752004
2015,1,5,10,offshore1,-45.343079,60.385963,-45.454914,60.370075,7.55,0.2733467650578965
2015,1,5,11,offshore1,-45.343079,60.385963,-45.454914,60.370075,8.26,0.36287121636266917
2015,1,5,12,offshore1,-45.343079,60.385963,-45.454914,60.370075,10.98,0.7654557584852225
2015,1,5,13,offshore1,-45.343079,60.385963,-45.454914,60.370075,12.93,0.9729570018264871
2015,1,5,14,offshore1,-45.343079,60.385963,-45.454914,60.370075,13.86,0.9985971782926946
2015,1,5,15,offshore1,-45.343079,60.385963,-45.454914,60.370075,14.7,1.0
2015,1,5,16,offshore1,-45.343079,60.385963,-45.454914,60.370075,15.15,0.9997557249007384
2015,1,5,17,offshore1,-45.343079,60.385963,-45.454914,60.370075,15.01,0.9999788490739839
2015,1,5,18,offshore1,-45.343079,60.385963,-45.454914,60.370075,13.86,0.9985971782926946
2015,1,5,19,offshore1,-45.343079,60.385963,-45.454914,60.370075,10.54,0.7009159824806431
2015,1,5,20,offshore1,-45.343079,60.385963,-45.454914,60.370075,6.87,0.20111952710199327
2015,1,5,21,offshore1,-45.343079,60.385963,-45.454914,60.370075,4.62,0.04773098936678692
2015,1,5,22,offshore1,-45.343079,60.385963,-45.454914,60.370075,3.85,0.021448167028527646
2015,1,5,23,offshore1,-45.343079,60.385963,-45.454914,60.370075,2.62,0.0
2015,1,6,0,offshore1,-45.343079,60.385963,-45.454914,60.370075,1.66,0.0019950112444758936
2015,1,6,1,offshore1,-45.343079,60.385963,-45.454914,60.370075,0.37,0.0
2015,1,6,2,offshore1,-45.343079,60.385963,-45.454914,60.370075,0.74,0.0
2015,1,6,3,offshore1,-45.343079,60.385963,-45.454914,60.370075,1.26,0.002221119949652346
2015,1,6,4,offshore1,-45.343079,60.385963,-45.454914,60.370075,1.81,0.001215075539164337
2015,1,6,5,offshore1,-45.343079,60.385963,-45.454914,60.370075,1.86,0.0009106448485240334
2015,1,6,6,offshore1,-45.343079,60.385963,-45.454914,60.370075,2.08,0.0
2015,1,6,7,offshore1,-45.343079,60.385963,-45.454914,60.370075,1.44,0.00255025142401835
2015,1,6,8,offshore1,-45.343079,60.385963,-45.454914,60.370075,0.78,0.0
2015,1,6,9,offshore1,-45.343079,60.385963,-45.454914,60.370075,1.34,0.00247143184017163
2015,1,6,10,offshore1,-45.343079,60.385963,-45.454914,60.370075,1.54,0.0024061469323389917
2015,1,6,11,offshore1,-45.343079,60.385963,-45.454914,60.370075,1.87,0.0008479275483470086
2015,1,6,12,offshore1,-45.343079,60.385963,-45.454914,60.370075,2.0,0.0
2015,1,6,13,offshore1,-45.343079,60.385963,-45.454914,60.370075,2.02,0.0
2015,1,6,14,offshore1,-45.343079,60.385963,-45.454914,60.370075,1.94,0.0003966456229539039
